,url,date,image,name,price,min,max,gender
59,http://shopping.naver.com/detail/detail.nhn?cat_id=50000839&nv_mid=7955472822,2015.03.14,http://shopping.phinf.naver.net/main_7955472/7955472822.20141124145711.jpg,티아이포맨 싱글 맥코트 M146MCT316,181030,20.0,40.0,1.0
60,http://shopping.naver.com/detail/detail.nhn?cat_id=50000832&nv_mid=8212357065,2015.03.14,http://shopping.phinf.naver.net/main_8212357/8212357065.20150127145259.jpg,지오지아 후드 스웨터 BZU4EC1109 GR,79200,20.0,40.0,1.0
61,http://shopping.naver.com/detail/detail.nhn?cat_id=50000839&nv_mid=8312603463,2015.03.14,http://shopping.phinf.naver.net/main_8312603/8312603463.20150224094302.jpg,닥스 구스다운 코트 DMH34D052,290440,20.0,50.0,1.0
62,http://shopping.naver.com/detail/detail.nhn?cat_id=50000839&nv_mid=8303026386,2015.03.14,http://shopping.phinf.naver.net/main_8303026/8303026386.20150223105434.jpg,질스튜어트 나일론 맥 코트 JNH25A501,442030,20.0,40.0,1.0
63,http://shopping.naver.com/detail/detail.nhn?cat_id=50000818&nv_mid=7162864613,2015.03.14,http://shopping.phinf.naver.net/main_7162864/7162864613.20131122115345.jpg,아디다스 유로파 트랙탑 F47762,33900,10.0,30.0,2.0
64,http://shopping.naver.com/detail/detail.nhn?cat_id=50000814&nv_mid=7668423117,2015.03.14,http://shopping.phinf.naver.net/main_7668423/7668423117.20140507110341.jpg,베네통 라쿤후드 구스다운 점퍼 BAPD52461,166000,20.0,40.0,2.0
65,http://shopping.naver.com/detail/detail.nhn?cat_id=50000813&nv_mid=8322390958,2015.03.14,http://shopping.phinf.naver.net/main_8322390/8322390958.20150226165352.jpg,랩 체크 배색 트렌치 코트 AF2WCS09,77720,20.0,50.0,2.0
66,http://shopping.naver.com/detail/detail.nhn?cat_id=50000814&nv_mid=7898477775,2015.03.14,http://shopping.phinf.naver.net/main_7898477/7898477775.20141112172830.jpg,올리브데올리브 스타일리쉬한 야상 점퍼 OW4AZ002,79940,20.0,40.0,2.0
67,http://shopping.naver.com/detail/detail.nhn?cat_id=50000752&nv_mid=8325039254,2015.03.14,http://shopping.phinf.naver.net/main_8325039/8325039254.20150227065622.jpg,프랜치캣 멀티스트라이프 샤프릴 원피스 Q41DKO281,22870,10.0,30.0,2.0
68,http://shopping.naver.com/detail/detail.nhn?cat_id=50000763&nv_mid=8335666425,2015.03.14,http://shopping.phinf.naver.net/main_8335666/8335666425.20150303201014.jpg,"아디다스 인펀트 슈퍼스타 트랙수트 아동 세트 네이비 핑크 S88054 , S88055",61660,0.0,10.0,2.0
69,http://shopping.naver.com/detail/detail.nhn?cat_id=50000830&nv_mid=8005828879,2015.03.14,http://shopping.phinf.naver.net/main_8005828/8005828879.20141013095621.jpg,지오다노 네오프랜 크루넥 오버사이즈 테리 맨투맨 티셔츠 024912,8550,10.0,30.0,1.0
70,http://shopping.naver.com/detail/detail.nhn?cat_id=50000831&nv_mid=8301165038,2015.03.14,http://shopping.phinf.naver.net/main_8301165/8301165038.20150225110533.jpg,잭앤질 라운드 체크 풀오버 31151SR002,34640,20.0,40.0,1.0
71,http://shopping.naver.com/detail/detail.nhn?cat_id=50000839&nv_mid=8301125606,2015.03.14,http://shopping.phinf.naver.net/main_8301125/8301125606.20150217104102.jpg,마에스트로 쓰리버튼 트렌치 코트 MAH35A201,235030,20.0,50.0,1.0
72,http://shopping.naver.com/detail/detail.nhn?cat_id=50000838&nv_mid=8303074255,2015.03.14,http://shopping.phinf.naver.net/main_8303074/8303074255.20150217114406.jpg,르까프 고어텍스 자켓 1212OJ303,131530,20.0,50.0,1.0
73,http://shopping.naver.com/detail/detail.nhn?cat_id=50000763&nv_mid=8257884560,2015.03.14,http://shopping.phinf.naver.net/main_8257884/8257884560.20150130071517.jpg,"아디다스 인펀트 슈퍼스타 아동 트랙수트 세트 핑크 블루 S15080 , S88056",61660,0.0,10.0,0.0
74,http://shopping.naver.com/detail/detail.nhn?cat_id=50000763&nv_mid=7671262977,2015.03.14,http://shopping.phinf.naver.net/main_7671262/7671262977.20140508133006.jpg,아디다스 트레이닝복 세트 DF-Z31966,43000,10.0,30.0,0.0
75,http://shopping.naver.com/detail/detail.nhn?cat_id=50000763&nv_mid=8252246159,2015.03.14,http://shopping.phinf.naver.net/main_8252246/8252246159.20150128073932.jpg,아디다스키즈 키즈 Z32589-M32681,52150,0.0,20.0,0.0
76,http://shopping.naver.com/detail/detail.nhn?cat_id=50000759&nv_mid=8250397719,2015.03.14,http://shopping.phinf.naver.net/main_8250397/8250397719.20150128160512.jpg,블루독베이비 우븐 점퍼 24119 110 52,70760,20.0,40.0,2.0
77,http://shopping.naver.com/detail/detail.nhn?cat_id=50000759&nv_mid=8247395286,2015.03.14,http://shopping.phinf.naver.net/main_8247395/8247395286.20150128144134.jpg,알로봇 야상 점퍼 14119 110 01,82860,20.0,40.0,1.0
78,http://shopping.naver.com/detail/detail.nhn?cat_id=50000835&nv_mid=7832608565,2015.03.14,http://shopping.phinf.naver.net/main_7832608/7832608565.20150202175048.jpg,플랙진 청바지 BERLIN-974,75000,20.0,50.0,1.0
79,http://shopping.naver.com/detail/detail.nhn?cat_id=50000813&nv_mid=8014166456,2015.03.14,http://shopping.phinf.naver.net/main_8014166/8014166456.20141015140035.jpg,제이제이지고트 지퍼포인트 오버핏 심플 바바리 코트 GGEI401602,112880,20.0,50.0,2.0
80,http://shopping.naver.com/detail/detail.nhn?cat_id=50000830&nv_mid=8325040519,2015.03.14,http://shopping.phinf.naver.net/main_8325040/8325040519.20150227070802.jpg,TNGT 신사 라이트그레이 라인배색 스트라이프라운드 넥 긴팔티 TGE05A102LE,54870,20.0,40.0,1.0
81,http://shopping.naver.com/detail/detail.nhn?cat_id=50000830&nv_mid=8287220669,2015.03.14,http://shopping.phinf.naver.net/main_8287220/8287220669.20150210203600.jpg,아디다스 폴로티셔츠 B20955,18500,10.0,50.0,1.0
82,http://shopping.naver.com/detail/detail.nhn?cat_id=50000762&nv_mid=7935048959,2015.03.14,http://shopping.phinf.naver.net/main_7935048/7935048959.20141009112911.jpg,팬콧 PKOFIDV01,47100,0.0,20.0,1.0
83,http://shopping.naver.com/detail/detail.nhn?cat_id=50000840&nv_mid=8271073225,2015.03.14,http://shopping.phinf.naver.net/main_8271073/8271073225.20150204172244.jpg,레노마 캐주얼 기본슬림 투버튼 블랙 정장 RHAISJ41AG,111600,20.0,50.0,1.0
84,http://shopping.naver.com/detail/detail.nhn?cat_id=50000839&nv_mid=8212441249,2015.03.14,http://shopping.phinf.naver.net/main_8212441/8212441249.20150212142824.jpg,닥스 구스다운 코트 DMH34D051,298310,20.0,50.0,1.0
85,http://shopping.naver.com/detail/detail.nhn?cat_id=50000818&nv_mid=8256461486,2015.03.14,http://shopping.phinf.naver.net/main_8256461/8256461486.20150129183613.jpg,카파 반바지레깅스 KFFP182FO,38730,10.0,40.0,2.0
86,http://shopping.naver.com/detail/detail.nhn?cat_id=50000807&nv_mid=7948528107,2015.03.14,http://shopping.phinf.naver.net/main_7948528/7948528107.20140926120221.jpg,올리브데올리브 에스닉 술장식 원피스 OW4WO303,74360,20.0,40.0,2.0
87,http://shopping.naver.com/detail/detail.nhn?cat_id=50000814&nv_mid=8302980378,2015.03.14,http://shopping.phinf.naver.net/main_8302980/8302980378.20150223155911.jpg,에고이스트 와펜 포인트 야상점퍼 EF1EZ301,118296,20.0,40.0,2.0
88,http://shopping.naver.com/detail/detail.nhn?cat_id=50000763&nv_mid=8346628875,2015.03.14,http://shopping.phinf.naver.net/main_8346628/8346628875.20150307174154.jpg,아디다스키즈 유스보이 티로 트레이닝세트 2종택1 S23341_S23342,54290,10.0,30.0,1.0
89,http://shopping.naver.com/detail/detail.nhn?cat_id=50000813&nv_mid=8237741618,2015.03.14,http://shopping.phinf.naver.net/main_8237741/8237741618.20150122144342.jpg,플라스틱아일랜드 외주름 모직 트렌치 코트 PF1WC163,98040,20.0,40.0,2.0
90,http://shopping.naver.com/detail/detail.nhn?cat_id=50000768&nv_mid=8287243559,2015.03.14,http://shopping.phinf.naver.net/main_8287243/8287243559.20150210222239.jpg,"아이더 아동자켓 방수 JMP14183 , 14SS",70980,10.0,20.0,0.0
91,http://shopping.naver.com/detail/detail.nhn?cat_id=50000759&nv_mid=8312658585,2015.03.14,http://shopping.phinf.naver.net/main_8312658/8312658585.20150224111918.jpg,아이더 등산복 방수 JMP14181,76440,30.0,60.0,0.0
92,http://shopping.naver.com/detail/detail.nhn?cat_id=50000813&nv_mid=8303281705,2015.03.14,http://shopping.phinf.naver.net/main_8303281/8303281705.20150217140451.jpg,톰보이 베이직 루즈핏 코트 9105111997,46640,20.0,40.0,2.0
93,http://shopping.naver.com/detail/detail.nhn?cat_id=50000831&nv_mid=8325243845,2015.03.14,http://shopping.phinf.naver.net/main_8325243/8325243845.20150227090417.jpg,ANDZ 트위드 라운드 스웨터 6종 BLU4ER1002,29050,20.0,40.0,1.0
94,http://shopping.naver.com/detail/detail.nhn?cat_id=50000833&nv_mid=8325459282,2015.03.14,http://shopping.phinf.naver.net/main_8325459/8325459282.20150227122550.jpg,시리즈 포인트포켓 린넨 카라셔츠 SAFM42841WH,75420,10.0,50.0,1.0
95,http://shopping.naver.com/detail/detail.nhn?cat_id=50000393&nv_mid=6860635839,2015.03.14,http://shopping.phinf.naver.net/main_6860635/6860635839.20140629193309.jpg,입생로랑 루쥬 뷔르 꾸뛰르 베르니 아 레브르 6ml,25670,20.0,40.0,2.0
96,http://shopping.naver.com/detail/detail.nhn?cat_id=50000312&nv_mid=5934194680,2015.03.14,http://shopping.phinf.naver.net/main_5934194/5934194680.20130410171103.jpg,마크제이콥스 오 롤라 우먼 오드퍼퓸,36350,20.0,40.0,2.0
97,http://shopping.naver.com/detail/detail.nhn?cat_id=50000297&nv_mid=4053407990,2015.03.14,http://shopping.phinf.naver.net/main_4053407/4053407990.20141107164342.jpg,알페신 카페인 샴푸 C1 250ml,10100,20.0,40.0,0.0
